headline,summary,source,link,word_count,scraped_at
"UK should set maximum working temperature rules, advisers say","Successive governments have failed to prepare the UK for extreme heat, the climate watchdog says.",BBC Top Stories,https://www.bbc.com/news/articles/cm2p1j4y0kro?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Southampton expelled from Championship play-offs for spying on Middlesbrough,Southampton have been thrown out of the play-offs after admitting they spied on three clubs during the Championship season.,BBC Top Stories,https://www.bbc.com/sport/football/articles/cwy2pnpqjl7o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
UK loosens Russian oil sanctions as fuel prices rise,The waiver reflects increasing supply concerns over certain fuels due to the effective blockade of the Strait of Hormuz.,BBC Top Stories,https://www.bbc.com/news/articles/cy42x3g7r89o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
UK's biggest ever environmental pollution claim reaches High Court,One of the UK's largest chicken producers and a water company accused of polluting three rivers including the River Wye,BBC Science,https://www.bbc.com/news/articles/cqxl5rjw58po?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Is it safe to swim at England's bathing sites?,Signs warning people not to swim are in place at almost all of England's official inland river bathing sites due to concerns the water could be unsafe,BBC Science,https://www.bbc.com/news/videos/c0q27gn78d1o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Robo-top: The machines that could make your next t-shirt,"Most clothes are made in Asia, but new machines could bring some of that work back to the West.",BBC Technology,https://www.bbc.com/news/articles/c0q2gkj97eko?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Jackson Pollock painting sells for record $181m at auction,"The Abstract Expressionist's Number 7A, 1948 painting is now his most expensive artwork ever sold at auction.",BBC World,https://www.bbc.com/news/articles/crkp777llgko?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Starbucks Korea sacks CEO over controversial 'Tank Day' promotion,Starbucks withdrew the campaign for its drink tumblers after many said it referenced a bloody crackdown.,BBC World,https://www.bbc.com/news/articles/c0k2dz4y6gxo?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
The crucial split-second call that could deny Spurs safety,"A controversial split-second call leaves Tottenham are left fighting for Premier League survival and dignity to avoid the ultimate humiliation on the last day of the season, says chief football writer Phil McNulty.",BBC Top Stories,https://www.bbc.com/sport/football/articles/c302je261rno?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Artemis II: Nasa targets early April for Moon mission,Nasa says technical problems that have delayed the rocket are fixed and it is ready for launch.,BBC Science,https://www.bbc.com/news/articles/c4g8qp42rq6o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Plan to track for signs of endangered water vole,"Water vole numbers nationally are in free fall, with more than 90 per cent lost since the 1970s.",BBC Science,https://www.bbc.com/news/articles/cn8p1gy1q0xo?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Eurovision winner Dara arrives to screaming fans in Bulgaria,The 27-year-old's tune Bangaranga won Bulgaria its first ever title in the song contest.,BBC World,https://www.bbc.com/news/videos/c2k2p8qkk58o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
How sunburn inspired a new way to store energy,Molecules that can capture heat could be a useful technology to decarbonise heating.,BBC Science,https://www.bbc.com/news/articles/c62l9gnx775o?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Inside the secretive and lucrative world of orchid breeding,"It can take a decade to bring a new orchid to market, so breeders keep their hi-tech processes secret.",BBC Technology,https://www.bbc.com/news/articles/cly039rr2mgo?at_medium=RSS&at_campaign=rss,9,2026-05-20 09:13:33
Lebanon says 19 killed in Israeli air strikes,"Ten people were killed in a single strike on a house, including three children and three women, Lebanon's health ministry says.",BBC Top Stories,https://www.bbc.com/news/articles/ce9p1l7yp2lo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Blue Flags awarded but one beach misses out,Keep Britain Tidy awards six Blue Flags but Avon Beach misses out because of a slip-up.,BBC Science,https://www.bbc.com/news/articles/c042qqqg11no?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Shakira wins £50m tax refund from Spanish government,"The Colombian singer says the court ruling means the ""narrative"" that she was guilty now ""crumbles"".",BBC World,https://www.bbc.com/news/articles/cd9pzd14vj5o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
What's happening to UK petrol and diesel prices?,Motoring group RAC warns pump prices could keep rising if there is no resolution to the Iran war.,BBC Top Stories,https://www.bbc.com/news/articles/c20zgjzz0e4o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Supermarkets urged to limit food prices by government,"Any price caps would be voluntary apply to key groceries such as eggs, bread, and milk, the BBC understands.",BBC Top Stories,https://www.bbc.com/news/articles/c5y7qz806q3o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Key people smuggler arrested after BBC uncovered identity,The 28-year-old's network is thought to have transported thousands of illegal migrants into the UK.,BBC Top Stories,https://www.bbc.com/news/articles/c5yejzmvy56o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Tasmanian government apologises over stolen body parts scandal,An investigation found that 177 human specimens from dozens of bodies were secretly kept by a museum.,BBC World,https://www.bbc.com/news/articles/c0q25lneg9vo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Trump-backed challenger defeats Republican rebel Massie in primary,The Kentucky race has been viewed as a key test of President Trump's grip on the Republican Party.,BBC Top Stories,https://www.bbc.com/news/articles/cwy2vw8j0ddo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Adverts for DNA self-swab kits banned as misleading,The Advertising Standards Authority has ruled Enough's online posts contained unproven claims.,BBC Top Stories,https://www.bbc.com/news/articles/cgjpn0qeqzdo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Grant Shapps quits aerospace firm after watchdog probe,"The former defence secretary has resigned as chairman of Cambridge Aerospace ""to simplify matters"".",BBC Top Stories,https://www.bbc.com/news/articles/cvgzjlqv1q9o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Two-time winner Alcaraz out of Wimbledon with injury,Two-time winner Carlos Alcaraz will miss this year's Wimbledon because of a wrist injury.,BBC Top Stories,https://www.bbc.com/sport/tennis/articles/c87qlqw1nj0o?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
Award for scientist who brought space to millions,"James O'Donoghue, from the University of Reading, is awarded the 2026 Carl Sagan medal.",BBC Science,https://www.bbc.com/news/articles/cx2181jew0vo?at_medium=RSS&at_campaign=rss,8,2026-05-20 09:13:33
